Path:	
C:\Users\kastriots\Google Drive\Measurement data\Plat_FacingAnt_11613.txt	

Owner:	
Robert Jones	

Description:	
	
-----------------------------------------------------------------	


X - Axis	Y - Axis
	
5330.00000000	-0.00127412
5340.00000000	-0.00106812
5350.00000000	-0.00054169
5360.00000000	-0.00040436
5370.00000000	-0.00051880
5380.00000000	-0.00077057
5390.00000000	-0.00134278
5400.00000000	-0.00153352
5410.00000000	-0.00144959
5420.00000000	-0.00118256
5430.00000000	-0.00023651
5440.00000000	0.00009918
5450.00000000	0.00041199
5460.00000000	0.00025940
5470.00000000	-0.00024414
5480.00000000	-0.00041199
5490.00000000	-0.00069428
5500.00000000	-0.00078583
5510.00000000	-0.00106049
5520.00000000	-0.00122071
5530.00000000	-0.00153352
5540.00000000	-0.00153352
5550.00000000	-0.00128175
5560.00000000	-0.00102235
5570.00000000	-0.00035858
5580.00000000	-0.00013733
5590.00000000	0.00014496
5600.00000000	0.00010681
5610.00000000	-0.00006104
5620.00000000	-0.00010681
5630.00000000	-0.00006866
5640.00000000	0.00002289
5650.00000000	0.00015259
5660.00000000	0.00006104
5670.00000000	-0.00041199
5680.00000000	-0.00069428
5690.00000000	-0.00102235
5700.00000000	-0.00090027
5710.00000000	-0.00005341
5720.00000000	0.00036621
5730.00000000	0.00086213
5740.00000000	0.00076294
5750.00000000	0.00024414
5760.00000000	0.00000000
5770.00000000	-0.00037384
5780.00000000	-0.00049591
5790.00000000	-0.00070954
5800.00000000	-0.00071717
5810.00000000	-0.00055695
5820.00000000	-0.00035858
5830.00000000	0.00009918
5840.00000000	0.00025940
5850.00000000	0.00047302
5860.00000000	0.00047302
5870.00000000	0.00023651
5880.00000000	0.00003052
5890.00000000	-0.00055695
5900.00000000	-0.00078583
5910.00000000	-0.00099946
5920.00000000	-0.00087738
5930.00000000	-0.00048065
5940.00000000	-0.00030518
5950.00000000	-0.00012970
5960.00000000	-0.00016022
5970.00000000	-0.00019836
5980.00000000	-0.00012207
5990.00000000	0.00016785
6000.00000000	0.00035095
6010.00000000	0.00059510
6020.00000000	0.00062561
6030.00000000	0.00054932
6040.00000000	0.00045014
6050.00000000	0.00013733
6060.00000000	-0.00000763
6070.00000000	-0.00016785
6080.00000000	-0.00012207
6090.00000000	0.00006104
6100.00000000	0.00012207
6110.00000000	-0.00000763
6120.00000000	-0.00017548
6130.00000000	-0.00058747
6140.00000000	-0.00061036
6150.00000000	-0.00043488
6160.00000000	-0.00025940
6170.00000000	0.00012970
6180.00000000	0.00028229
6190.00000000	0.00055695
6200.00000000	0.00059510
6210.00000000	0.00056458
6220.00000000	0.00049591
6230.00000000	0.00039673
6240.00000000	0.00039673
6250.00000000	0.00048065
6260.00000000	0.00051117
6270.00000000	0.00041962
6280.00000000	0.00027466
6290.00000000	-0.00009155
6300.00000000	-0.00022888
6310.00000000	-0.00039673
6320.00000000	-0.00037384
6330.00000000	-0.00026703
6340.00000000	-0.00022125
6350.00000000	-0.00021362
6360.00000000	-0.00026703
6370.00000000	-0.00046540
6380.00000000	-0.00055695
6390.00000000	-0.00066376
6400.00000000	-0.00067902
6410.00000000	-0.00064087
6420.00000000	-0.00057221
6430.00000000	-0.00022888
6440.00000000	-0.00003052
6450.00000000	0.00037384
6460.00000000	0.00041199
6470.00000000	0.00021362
6480.00000000	0.00000763
6490.00000000	-0.00034333
6500.00000000	-0.00037384
6510.00000000	-0.00032044
6520.00000000	-0.00031281
6530.00000000	-0.00048828
6540.00000000	-0.00065613
6550.00000000	-0.00102235
6560.00000000	-0.00100709
6570.00000000	-0.00052643
6580.00000000	-0.00009918
6590.00000000	0.00119782
6600.00000000	0.00157929
6610.00000000	0.00170136
6620.00000000	0.00135041
6630.00000000	0.00021362
6640.00000000	-0.00022125
6650.00000000	-0.00070191
6660.00000000	-0.00058747
6670.00000000	-0.00000763
6680.00000000	0.00022125
6690.00000000	0.00046540
6700.00000000	0.00038147
6710.00000000	0.00017548
6720.00000000	0.00010681
6730.00000000	0.00009918
6740.00000000	0.00011444
6750.00000000	0.00006866
6760.00000000	-0.00000763
6770.00000000	-0.00011444
6780.00000000	-0.00007629
6790.00000000	0.00009918
6800.00000000	0.00015259
6810.00000000	0.00011444
6820.00000000	0.00006104
6830.00000000	0.00007629
6840.00000000	0.00022125
6850.00000000	0.00066376
6860.00000000	0.00080109
6870.00000000	0.00090790
6880.00000000	0.00077820
6890.00000000	0.00019836
6900.00000000	-0.00010681
6910.00000000	-0.00064087
6920.00000000	-0.00071717
6930.00000000	-0.00063324
6940.00000000	-0.00046540
6950.00000000	-0.00019836
6960.00000000	-0.00008392
6970.00000000	0.00009155
6980.00000000	0.00014496
6990.00000000	0.00017548
7000.00000000	0.00007629
7010.00000000	-0.00024414
7020.00000000	-0.00034333
7030.00000000	-0.00037384
7040.00000000	-0.00020599
7050.00000000	0.00011444
7060.00000000	0.00015259
7070.00000000	-0.00005341
7080.00000000	-0.00024414
7090.00000000	-0.00050354
7100.00000000	-0.00042725
7110.00000000	-0.00006104
7120.00000000	0.00013733
7130.00000000	0.00016022
7140.00000000	-0.00005341
7150.00000000	-0.00068665
7160.00000000	-0.00089264
7170.00000000	-0.00106049
7180.00000000	-0.00094605
7190.00000000	-0.00053406
7200.00000000	-0.00032044
7210.00000000	-0.00001526
